time(s),altitude(m),speed(m/s),acceleration(m/s/s),body drag(N),airfoil drag(N),atm pressure(Kg/m2),air temp(K),fin deflection(°),z agnular rate(rad/s),z angle(rad),z torque(N/m2)
0.05,9999.98774125,-0.49035000000000006,-9.807,0.0,0.0,23790.126164684516,200.14999999999998,-1,-1.2828235292195687,-0.032070588230489215,-0.12828235292195686
0.1,13232.964166548312,129319.54736193248,2586400.7542386493,0.0001991199159052729,646602.6401105424,23790.1785625528,200.15012013574997,-1,-89224393663.6319,-2230609841.6549387,-8922439366.234907
0.15000000000000002,141518027522230.03,5660721100230564.0,1.1321442200202488e+17,8716035.468673296,2.8303605491790188e+16,12602.156226832398,168.46695116782652,-1,-1.0759375534546616e+32,-2.689843883636654e+30,-1.0759375534546614e+31
0.2,nan,nan,nan,nan,nan,nan,-1386876669419.7043,-1,nan,nan,nan
